Index,User name,Start Time,Stop Time,Status,Mark To Pause,Label,Comment,Run ID,Line,Vial,Evaluate,Sample Type,Reference,Acquisition information Background Result,Kiel IV Initial Pressure,Kiel IV Acid Temperature,Linearity Correction Result,Pressure Adjust Target Intensity,High Voltage,Kiel IV Residual CO₂ Pressure,Peak Center Result,Kiel IV Non Condensable Pressure,Pressure Adjust Result Intensity,Initial Intensity from µ-Volume,Kiel IV Leak Rate,Pressure Adjust Initial Intensity,Ion Source Pressure,Pressure Adjust Bellow Position,Kiel IV CO₂ Sample Pressure,Measuring from,Pressure Adjust failed with Target Intensity,Cycle Number,Sample Intensities Sample Intensity 44.00 m/z,45.00 m/z,45.00 m/z__dup2,46.00 m/z,46.00 m/z__dup2,Standard Intensities Standard Intensity 44.00 m/z,"Molecule Deltas CO2 Brand, Assonov and Coplen d45CO2",d46CO2,"CO2 Brand, Assonov and Coplen (Avg.) d45CO2 Mean",d45CO2 SD,d45CO2 SE,d46CO2 Mean,d46CO2 SD,d46CO2 SE,d 13C/12C  Mean,d 13C/12C  Std Dev,d 18O/16O  Mean,d 18O/16O  Std Dev,Excel File,Date,Date_ordinal,leak_rate,p_gases,p_no_acid,total_co2,1  Cycle Int  Samp  44,Identifier 1,Species,Identifier 2,Collector Status,Cycles Total,d13C Cycles Used,d18O Cycles Used,d13C Cycles Excluded,d18O Cycles Excluded,1  Cycle Int  Ref  44,1  Cycle Int  Diff Samp-Ref  44,1  Cycle Int  Pressure-Weighted Mismatch Samp-Ref  44
9.0,GIRMS\IRMS-operator,2026-01-28 17:59:06.219,2026-01-28 19:08:39.990,Success,False,BTS,392,9.0,1,6.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",62 µbar,72 °C,,15.502 V,9.5201 kV,57 µbar,Carbon Dioxide: 0.0201 kV,247 µbar,13.225 V,18.259 V,154 µbar/min,3.365 V,1.24E-007 mbar,20 %,"1,041 µbar",µ-Volume,,Pre,11.904926187659719,12.917345061724706,13.386748196879326,16.981256539200352,17.87163072285514,12.541381515029647,-2.0762158515125195,-3.979623182515435,-2.187483617169514,0.06939495578875056,0.024534821909183088,-4.048338154526681,0.05407616131270757,0.01911881018237658,-2.2033790122633703,0.057097078810026354,-4.058154579099717,0.050122077367717496,Natan Pereira BTS coral series 2.xlsx,2026-01-28 17:59:06.219,739644.0,154.0,247.0,57.0,1041.0,11.421264758885295,BTS,,392,OK,8.0,7.0,7.0,0.0,0.0,11.78890267706273,-0.36763791817743474,-0.3175481423650909
10.0,GIRMS\IRMS-operator,2026-01-28 18:32:27.862,2026-01-28 19:35:25.686,Success,False,BTS,1005,10.0,2,6.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",52 µbar,72 °C,,29.415 V,9.5194 kV,62 µbar,Carbon Dioxide: 0.0194 kV,333 µbar,24.282 V,35.647 V,117 µbar/min,12.727 V,1.82E-007 mbar,10 %,"1,048 µbar",µ-Volume,26.502 V,Pre,26.422489539270714,28.627694131884137,25.173530461344285,37.699750823857244,33.635965747715886,23.602549091463395,-2.676423467735445,-3.6662726728815542,-2.814675709551351,0.13013984391944858,0.04601138306900048,-3.6642667795034614,0.10294298352816855,0.03639584086417152,-2.8344260298107655,0.12695829000638956,-3.663980223306591,0.11118768411590048,Natan Pereira BTS coral series 2.xlsx,2026-01-28 18:32:27.862,739644.0,117.0,333.0,62.0,1048.0,25.145325914507218,BTS,,1005,OK,8.0,7.0,7.0,0.0,0.0,21.890658990030598,3.25466692447662,3.333139155110497
11.0,GIRMS\IRMS-operator,2026-01-28 19:08:40.108,2026-01-28 20:06:27.947,Success,False,SHP2L,,11.0,1,7.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.004 V",62 µbar,72 °C,,4.896 V,9.5185 kV,59 µbar,Carbon Dioxide: 0.0185 kV,604 µbar,4.667 V,5.539 V,198 µbar/min,22.744 V,6.37E-008 mbar,58 %,880 µbar,µ-Volume,,Pre,4.1153406487561925,4.476092055963915,4.731795738192307,5.860033052928686,6.312879341609716,4.427585078467591,-0.8138278198550619,-6.179972562805891,-0.8072313967056877,0.011561564136072832,0.0040876302008701435,-6.149828085841857,0.04378979000316736,0.015482028728987263,-0.8062890505414914,0.01215153930228491,-6.145521731989853,0.04543184948125564,Natan Pereira BTS coral series 2.xlsx,2026-01-28 19:08:40.108,739644.0,198.0,604.0,59.0,880.0,4.017305909261869,SHP2L,,,OK,8.0,7.0,7.0,0.0,0.0,4.269373952016996,-0.25206804275512695,-0.21146425094596297
12.0,GIRMS\IRMS-operator,2026-01-28 19:35:25.788,2026-01-28 20:38:41.365,Success,False,BTS,983,12.0,2,7.0,True,Unknown,,"0.001 V, 0.001 V, 0.003 V",57 µbar,72 °C,,27.170 V,9.5202 kV,62 µbar,Carbon Dioxide: 0.0202 kV,638 µbar,22.511 V,32.609 V,161 µbar/min,4.619 V,1.74E-007 mbar,10 %,"1,048 µbar",µ-Volume,24.298 V,Pre,24.12601484860075,26.14833510196308,23.33159840381245,34.43370708690484,31.173347918852173,21.868861456762676,-2.6705642104061234,-3.6413196512131707,-2.813345239834869,0.11537445924302907,0.0407910312532384,-3.6841891482193714,0.1134414711265922,0.040107616750695636,-2.8337425297532612,0.10791979467990159,-3.6903133620774002,0.12109392763356688,Natan Pereira BTS coral series 2.xlsx,2026-01-28 19:35:25.788,739644.0,161.0,638.0,62.0,1048.0,22.90230168903959,BTS,,983,OK,8.0,7.0,7.0,0.0,0.0,20.343012352835064,2.5592893362045253,2.568808426461063
13.0,GIRMS\IRMS-operator,2026-01-28 20:06:28.070,2026-01-28 21:14:12.082,Success,False,BTS,366,13.0,1,8.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",64 µbar,72 °C,,25.036 V,9.5204 kV,62 µbar,Carbon Dioxide: 0.0204 kV,736 µbar,21.857 V,30.142 V,234 µbar/min,3.376 V,1.73E-007 mbar,12 %,"1,078 µbar",µ-Volume,,Pre,0.39082142509864604,0.42718611601314543,22.538034117028012,0.5603391566576701,30.112416510119594,21.12538531033316,5.846453618072456,0.9506106762571243,9.700609630729607,7.154040957090179,2.529335436822382,11.050323637079766,18.195746060685973,6.43316771412973,10.251203346823486,7.54194406258261,12.493139774340145,19.152980587027017,Natan Pereira BTS coral series 2.xlsx,2026-01-28 20:06:28.070,739644.0,234.0,736.0,62.0,1078.0,0.05218925650966514,BTS,,366,OK,8.0,7.0,7.0,0.0,0.0,19.673699285667325,-19.621510029157662,-0.04640619593439789
14.0,GIRMS\IRMS-operator,2026-01-28 20:38:41.484,2026-01-28 21:06:03.329,Error,False,BTS,998,14.0,2,8.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",54 µbar,73 °C,,,,,,,,,366 µbar/min,,,,,,,Pre,,,,,,,,,,,,,,,,,,,Natan Pereira BTS coral series 2.xlsx,2026-01-28 20:38:41.484,739644.0,366.0,,,,,BTS,,998,Failed Sample,0.0,0.0,0.0,0.0,0.0,,,
15.0,GIRMS\IRMS-operator,2026-01-29 10:20:49.192,2026-01-29 11:19:32.395,Success,False,BTS,1004,15.0,1,9.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",52 µbar,73 °C,,25.651 V,9.5216 kV,62 µbar,Carbon Dioxide: 0.0216 kV,101 µbar,24.788 V,30.861 V,303 µbar/min,3.280 V,1.92E-007 mbar,10 %,"1,063 µbar",µ-Volume,,Pre,22.421356574078906,24.283179769958497,25.710994134391782,31.97536111349846,34.35120225424553,24.10824252702843,-3.0023121555451393,-3.98092446957099,-3.0399623713424497,0.052633491577037034,0.01860874940582396,-3.904393225443309,0.03954097714679735,0.013979846537621354,-3.045340973599209,0.05442417778262892,-3.8934601905679256,0.02661663648682186,Natan Pereira BTS coral series 2.xlsx,2026-01-29 10:20:49.192,739645.0,303.0,101.0,62.0,1063.0,21.338608399411545,BTS,,1004,OK,8.0,7.0,7.0,0.0,0.0,22.34480930902611,-1.0062009096145665,-0.8566878506919817
16.0,GIRMS\IRMS-operator,2026-01-29 10:59:01.757,2026-01-29 11:51:04.367,Success,False,SHP2L,,16.0,2,9.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.003 V",57 µbar,72 °C,,5.010 V,9.5204 kV,443 µbar,Carbon Dioxide: 0.0204 kV,91 µbar,4.794 V,5.660 V,464 µbar/min,23.239 V,6.75E-008 mbar,57 %,902 µbar,µ-Volume,,Pre,4.271765370373077,4.645209116183221,4.860326952493531,6.085088116007615,6.483553024697388,4.548971672062224,-0.8184137097735356,-5.43913035094401,-0.8250623861288942,0.026585392929766718,0.009399355810573471,-5.430453546748439,0.024029773360631213,0.008495807846839091,-0.8260121970368025,0.02856851979016664,-5.42921400329193,0.025677382549080117,Natan Pereira BTS coral series 2.xlsx,2026-01-29 10:59:01.757,739645.0,464.0,91.0,443.0,902.0,4.168570374902261,SHP2L,,,OK,8.0,7.0,7.0,0.0,0.0,4.390935525066763,-0.2223651501645021,-0.18821111318369738
17.0,GIRMS\IRMS-operator,2026-01-29 11:19:32.547,2026-01-29 12:25:50.541,Success,False,BTS,863,17.0,1,10.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",54 µbar,72 °C,,8.388 V,9.5217 kV,59 µbar,Carbon Dioxide: 0.0217 kV,71 µbar,7.848 V,9.454 V,127 µbar/min,4.758 V,9.07E-008 mbar,32 %,948 µbar,µ-Volume,,Pre,7.115979325141113,7.728916436746395,7.908415824487484,10.158661741423725,10.55425739152858,7.40302775621028,-1.8035131208683497,-3.5687634525696232,-1.8263366440380566,0.01727984042120474,0.006109346169827639,-3.564974362721282,0.01935937985411023,0.006844574387203789,-1.829597147348015,0.015784067980921968,-3.5644330641715185,0.020845026935424605,Natan Pereira BTS coral series 2.xlsx,2026-01-29 11:19:32.547,739645.0,127.0,71.0,59.0,948.0,6.928135287131471,BTS,,863,OK,8.0,7.0,7.0,0.0,0.0,7.106219064559143,-0.17808377742767245,-0.15479274041864016
18.0,GIRMS\IRMS-operator,2026-01-29 11:51:04.535,2026-01-29 12:57:28.950,Success,False,BTS,929,18.0,2,10.0,True,Unknown,,"0.002 V, 0.001 V, 0.002 V",59 µbar,72 °C,,51.842 V,9.5213 kV,54 µbar,Carbon Dioxide: 0.0213 kV,79 µbar,22.172 V,52.364 V,107 µbar/min,7.722 V,1.80E-007 mbar,10 %,"1,073 µbar",µ-Volume,51.844 V,Pre,47.46869254256536,51.42477919923443,22.97592928277629,52.369721925738745,30.694403446200777,21.54323506499577,-2.738028123556724,-229.41422812379076,-3.3557551987982577,0.3860705793973553,0.13649656235424465,-77.81423133910879,89.74209718831015,31.728622739878148,-3.5229600641628984,0.26283455719036497,-3.259324356913784,0.13623185551294315,Natan Pereira BTS coral series 2.xlsx,2026-01-29 11:51:04.535,739645.0,107.0,79.0,54.0,1073.0,44.50304854060459,BTS,,929,Partially Saturated Collectors,8.0,6.0,2.0,1.0,5.0,20.01778829242039,24.485260248184197,48.53185106069943
19.0,GIRMS\IRMS-operator,2026-01-29 12:25:50.677,2026-01-29 13:39:47.414,Success,False,BTS,966,19.0,1,11.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",49 µbar,72 °C,,51.839 V,9.5216 kV,59 µbar,Carbon Dioxide: 0.0216 kV,69 µbar,25.047 V,52.365 V,117 µbar/min,3.318 V,1.93E-007 mbar,10 %,"1,043 µbar",µ-Volume,51.834 V,Pre,42.84535778685098,46.499478226937164,25.980609065331322,52.37042658317087,34.71973292815684,24.35768080873972,-1.0420396618420202,-146.61913544157835,-1.5495237283200125,0.3218666285734556,0.11379703785097112,-20.28557911427842,34.29470082238143,12.962178523340508,-1.622021452102583,0.26797243910524443,-2.7378233482508265,0.13576389177325668,Natan Pereira BTS coral series 2.xlsx,2026-01-29 12:25:50.677,739645.0,117.0,69.0,59.0,1043.0,40.29941989107614,BTS,,966,Partially Saturated Collectors,8.0,7.0,3.0,0.0,4.0,22.563282977776584,17.736136913299557,28.242556004904515
20.0,GIRMS\IRMS-operator,2026-01-29 12:57:29.071,2026-01-29 14:07:25.400,Success,False,BTS,931,20.0,2,11.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",57 µbar,72 °C,,37.504 V,9.5199 kV,52 µbar,Carbon Dioxide: 0.0199 kV,76 µbar,23.171 V,47.419 V,98 µbar/min,23.285 V,1.84E-007 mbar,10 %,"1,060 µbar",µ-Volume,33.268 V,Pre,33.87840667016023,36.69601822566493,24.063245899195508,48.312122288267524,32.147208514730835,22.571331050462657,-2.5520538996668396,-3.611890803065898,-2.7340084014134955,0.14262742524513655,0.050426409787006715,-3.766885574808476,0.14282702270147915,0.050496978144450436,-2.760001901663018,0.13201073310654945,-3.789027685057416,0.13864920861951968,Natan Pereira BTS coral series 2.xlsx,2026-01-29 12:57:29.071,739645.0,98.0,76.0,52.0,1060.0,31.991338517732554,BTS,,931,OK,8.0,7.0,7.0,0.0,0.0,20.935079243249827,11.056259274482727,15.063104131828434
21.0,GIRMS\IRMS-operator,2026-01-29 13:39:47.544,2026-01-29 14:46:28.232,Success,False,SHP2L,,21.0,1,12.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.003 V",49 µbar,72 °C,,9.399 V,9.5200 kV,54 µbar,Carbon Dioxide: 0.0200 kV,62 µbar,8.747 V,10.926 V,303 µbar/min,21.643 V,1.00E-007 mbar,27 %,936 µbar,µ-Volume,,Pre,7.910499787504669,8.600071491570988,8.84556190167128,11.268516693222399,11.804902054804119,8.28245569497942,-0.5970604405096669,-5.498097698870885,-0.6595250046478874,0.03157423677043388,0.011163178465581717,-5.528520428334682,0.020738610666800654,0.007332206117441205,-0.6684485138104902,0.020491063540173972,-5.532866532543797,0.018041004157756838,Natan Pereira BTS coral series 2.xlsx,2026-01-29 13:39:47.544,739645.0,303.0,62.0,54.0,936.0,7.683987452215987,SHP2L,,,OK,8.0,7.0,7.0,0.0,0.0,7.90500126426794,-0.2210138120519538,-0.19153695561456405
22.0,GIRMS\IRMS-operator,2026-01-29 15:38:18.847,2026-01-29 16:42:02.389,Success,False,BTS,918,22.0,2,12.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",45 µbar,72 °C,,18.836 V,9.5209 kV,49 µbar,Carbon Dioxide: 0.0209 kV,67 µbar,16.525 V,22.648 V,88 µbar/min,3.253 V,1.52E-007 mbar,16 %,"1,009 µbar",µ-Volume,,Pre,16.099679833692864,17.455340864596444,17.924965860781747,22.957348488427055,23.93543090686883,16.80188215379174,-2.2990626616241627,-3.950903765796654,-2.449839929949245,0.09463350326697759,0.023658375816744397,-4.112827530922818,0.10681310813837532,0.02670327703459383,-2.4598917478375837,0.08867401327423834,-4.123622448597896,0.1011252199806522,Natan Pereira BTS coral series 2.xlsx,2026-01-29 15:38:18.847,739645.0,88.0,67.0,49.0,1009.0,15.340167647642447,BTS,,918,OK,16.0,15.0,15.0,0.0,0.0,15.678811436933831,-0.3386437892913836,-0.2953986767477323
23.0,GIRMS\IRMS-operator,2026-01-29 16:12:35.415,2026-01-29 17:12:21.304,Success,False,BTS,865,23.0,1,13.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",45 µbar,72 °C,,10.582 V,9.5199 kV,54 µbar,Carbon Dioxide: 0.0199 kV,54 µbar,9.783 V,12.291 V,259 µbar/min,15.614 V,1.12E-007 mbar,26 %,955 µbar,µ-Volume,,Pre,9.565464403688441,10.377503400219629,10.56481081779602,13.646106989270855,14.100099259666308,9.894929077684413,-2.4506914285978842,-3.8216630933649576,-2.535568880259187,0.019387432777352616,0.005005813618160166,-3.857274948034916,0.0228636815575027,0.005903377193679841,-2.535568880259187,0.019387432777352605,-3.8636214923138663,0.02534986024941475,Natan Pereira BTS coral series 2.xlsx,2026-01-29 16:12:35.415,739645.0,259.0,54.0,54.0,955.0,9.22132771421965,BTS,,865,OK,16.0,15.0,15.0,0.0,0.0,9.360260512887965,-0.13893279866831598,-0.12202779571150449
24.0,GIRMS\IRMS-operator,2026-01-29 16:42:02.517,2026-01-29 17:44:35.350,Success,False,BTS,867,24.0,2,13.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",57 µbar,72 °C,,8.849 V,9.5204 kV,52 µbar,Carbon Dioxide: 0.0204 kV,76 µbar,8.617 V,10.129 V,88 µbar/min,9.526 V,1.03E-007 mbar,28 %,968 µbar,µ-Volume,,Pre,8.495924875597753,9.220592404741618,9.289987112421368,12.122855069704995,12.400210383006081,8.698661300601586,-2.3526938772886474,-3.991594834991674,-2.3978381337874666,0.026823078041584722,0.006925688969938632,-3.977912423523696,0.02459866151929046,0.006149665379822615,-2.3949675199505416,0.03347805895316447,-3.9770002627591636,0.02518038250819316,Natan Pereira BTS coral series 2.xlsx,2026-01-29 16:42:02.517,739645.0,88.0,76.0,52.0,968.0,8.217988417010107,BTS,,867,OK,16.0,15.0,15.0,0.0,0.0,8.279709026675024,-0.06172060966491699,-0.05461716065728353
25.0,GIRMS\IRMS-operator,2026-01-29 17:12:21.431,2026-01-29 18:22:11.124,Success,False,BTS,1008,25.0,1,14.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",47 µbar,72 °C,,14.807 V,9.5203 kV,54 µbar,Carbon Dioxide: 0.0203 kV,62 µbar,13.431 V,17.448 V,98 µbar/min,8.388 V,1.34E-007 mbar,17 %,987 µbar,µ-Volume,,Pre,13.077358995765008,14.193721727405052,14.610640429861755,18.645385550643383,19.504646109725414,13.692151104300775,-1.4555039685826276,-4.048491090020923,-1.6273080193417369,0.06385187639901761,0.016486483594499307,-4.155210713027094,0.08590919517483658,0.021477298793709146,-1.6273080193417369,0.06385187639901761,-4.16232535456084,0.08390364262352115,Natan Pereira BTS coral series 2.xlsx,2026-01-29 17:12:21.431,739645.0,98.0,62.0,54.0,987.0,12.541483436911857,BTS,,1008,OK,16.0,15.0,15.0,0.0,0.0,12.835781370490349,-0.2942979335784912,-0.25636708895853516
26.0,GIRMS\IRMS-operator,2026-01-29 17:44:35.485,2026-01-29 19:03:47.732,Success,False,SHP2L,,26.0,2,14.0,True,QC Standard,SHP2L,"0.001 V, 0.001 V, 0.002 V",59 µbar,72 °C,,8.363 V,9.5206 kV,54 µbar,Carbon Dioxide: 0.0206 kV,81 µbar,7.540 V,9.517 V,107 µbar/min,3.269 V,9.30E-008 mbar,35 %,977 µbar,µ-Volume,,Pre,7.376303225879831,8.020026560020082,8.116913817703589,10.505148541498974,10.833286699211763,7.597868380370156,-0.8248790652529703,-6.081731097982268,-0.8726334718913782,0.027829206222780966,0.007185470149266833,-6.098606708686907,0.027127193801332727,0.006781798450333182,-0.8712112758131625,0.030827567341641493,-6.09973174940055,0.027690247983284625,Natan Pereira BTS coral series 2.xlsx,2026-01-29 17:44:35.485,739645.0,107.0,81.0,54.0,977.0,7.128593834868177,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,7.267010721197826,-0.1384168863296491,-0.12105580135791749
27.0,GIRMS\IRMS-operator,2026-01-29 18:22:11.246,2026-01-29 19:33:03.325,Success,False,BTS,930,27.0,1,15.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",52 µbar,72 °C,,32.742 V,9.5201 kV,62 µbar,Carbon Dioxide: 0.0201 kV,67 µbar,24.344 V,40.386 V,88 µbar/min,7.253 V,2.00E-007 mbar,10 %,"1,051 µbar",µ-Volume,28.984 V,Pre,31.672561317299287,34.31434874353709,26.908978269675398,45.19429510405227,35.96149092486069,25.233203321312352,-2.579413311793455,-3.6087283486202493,-2.956774223065527,0.26945535768275825,0.06736383942068956,-4.053000418977694,0.4301581737794489,0.10753954344486223,-2.9819316171503316,0.2587329252124651,-4.082618557001523,0.42803576561506024,Natan Pereira BTS coral series 2.xlsx,2026-01-29 18:22:11.246,739645.0,88.0,67.0,62.0,1051.0,30.017995982979222,BTS,,930,OK,16.0,15.0,15.0,0.0,0.0,23.36875513157694,6.649240851402283,7.614942762368749
28.0,GIRMS\IRMS-operator,2026-01-29 19:03:47.860,2026-01-29 20:07:45.951,Success,False,BTS,885,28.0,2,15.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",64 µbar,72 °C,,14.015 V,9.5188 kV,57 µbar,Carbon Dioxide: 0.0188 kV,81 µbar,12.829 V,16.544 V,68 µbar/min,22.685 V,1.30E-007 mbar,19 %,"1,034 µbar",µ-Volume,,Pre,12.507944287932105,13.56745436813895,13.931057602430027,17.83496957420554,18.592380696527623,13.05499571768064,-2.0912581843256506,-3.7365045754907955,-2.228231866660057,0.051197824621868754,0.013219221474836382,-3.8180965208400104,0.07113991240421623,0.017784978101054057,-2.2282318666600576,0.05119782462186881,-3.8235359838632914,0.0701082047050942,Natan Pereira BTS coral series 2.xlsx,2026-01-29 19:03:47.860,739645.0,68.0,81.0,57.0,1034.0,11.987610640204137,BTS,,885,OK,16.0,15.0,15.0,0.0,0.0,12.256680907881446,-0.2690702676773089,-0.2346248031011647
29.0,GIRMS\IRMS-operator,2026-01-29 19:33:03.500,2026-01-29 20:44:01.964,Success,False,BTS,932,29.0,1,16.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",54 µbar,72 °C,,13.344 V,9.5196 kV,57 µbar,Carbon Dioxide: 0.0196 kV,71 µbar,11.973 V,15.656 V,88 µbar/min,12.312 V,1.24E-007 mbar,19 %,"1,009 µbar",µ-Volume,,Pre,11.675502396791899,12.676407234386007,12.975488440707723,16.648371843427604,17.317195562452266,12.156854147783957,-1.3862988696076162,-3.9524734525556715,-1.491830662447365,0.04063675435848182,0.010492364858288116,-4.0304192876185505,0.055681859656993286,0.014376994342492908,-1.4918306624473652,0.040636754358481825,-4.045341687111155,0.06283469675597345,Natan Pereira BTS coral series 2.xlsx,2026-01-29 19:33:03.500,739645.0,88.0,71.0,57.0,1009.0,11.216349629048812,BTS,,932,OK,16.0,15.0,15.0,0.0,0.0,11.42852726328801,-0.21217763423919855,-0.185656147420481
30.0,GIRMS\IRMS-operator,2026-01-29 20:07:46.085,2026-01-29 21:24:10.420,Success,False,BTS,987,30.0,2,16.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",59 µbar,72 °C,,23.670 V,9.5202 kV,57 µbar,Carbon Dioxide: 0.0202 kV,79 µbar,20.793 V,28.413 V,98 µbar/min,3.264 V,1.78E-007 mbar,13 %,"1,075 µbar",µ-Volume,,Pre,20.21786132221552,21.925808911355016,22.76680064681339,28.831176669765664,30.41259220378513,21.34424009685846,-1.8125091624676681,-4.025607608552972,-2.064499658587168,0.14783034635744224,0.03695758658936056,-4.184426409550336,0.17163927939995782,0.042909819849989456,-2.081299024995135,0.1362965985196128,-4.195014329616828,0.17217011130477822,Natan Pereira BTS coral series 2.xlsx,2026-01-29 20:07:46.085,739645.0,98.0,79.0,57.0,1075.0,19.263054517558537,BTS,,987,OK,16.0,15.0,15.0,0.0,0.0,19.83302393322321,-0.5699694156646729,-0.49355576791869044
31.0,GIRMS\IRMS-operator,2026-01-29 20:44:02.120,2026-01-29 21:58:35.822,Success,False,SHP2L,,31.0,1,17.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.004 V",54 µbar,73 °C,,4.172 V,9.5189 kV,62 µbar,Carbon Dioxide: 0.0189 kV,76 µbar,4.064 V,4.731 V,93 µbar/min,19.632 V,6.15E-008 mbar,68 %,858 µbar,µ-Volume,,Pre,3.9203397390780235,4.264297025361226,4.411371205822765,5.581495733085408,5.88384910327902,4.128076827281454,-0.6889661405230507,-6.028082921664124,-0.7344621915772315,0.02504755303887815,0.006261888259719538,-6.034612945179804,0.03371455732728361,0.008705061270221644,-0.7374952616475102,0.02268230166929759,-6.028746443179367,0.04165331297303144,Natan Pereira BTS coral series 2.xlsx,2026-01-29 20:44:02.120,739645.0,93.0,76.0,62.0,858.0,3.8259135989478135,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,3.9862539151707286,-0.1603403162229151,-0.13720230155063498
32.0,GIRMS\IRMS-operator,2026-01-29 21:24:10.566,2026-01-29 22:30:45.919,Success,False,BTS,963,32.0,2,17.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",67 µbar,72 °C,,51.910 V,9.5203 kV,67 µbar,Carbon Dioxide: 0.0203 kV,84 µbar,23.352 V,52.433 V,68 µbar/min,4.040 V,1.91E-007 mbar,10 %,"1,143 µbar",µ-Volume,51.917 V,Pre,52.434558777517964,52.366448916115516,25.84132400862192,52.37067799516301,34.53029255815129,24.23224857301204,-80.56523258632353,-302.4763074274618,-77.46674013534566,13.360232694896213,3.5706723822769386,-293.81172007702213,24.413030225116533,6.3034172994889754,-3.4448566581279927,13.852943612816128,,,Natan Pereira BTS coral series 2.xlsx,2026-01-29 21:24:10.566,739645.0,68.0,84.0,67.0,1143.0,52.433977632231404,BTS,,963,Partially Saturated Collectors,16.0,1.0,0.0,14.0,15.0,22.47461190671413,29.959365725517273,62.316302903684864
33.0,GIRMS\IRMS-operator,2026-01-29 21:58:35.952,2026-01-29 23:08:00.738,Success,False,BTS,1000,33.0,1,18.0,True,Unknown,,"0.002 V, 0.002 V, 0.004 V",57 µbar,72 °C,,51.909 V,9.5190 kV,67 µbar,Carbon Dioxide: 0.0190 kV,74 µbar,21.594 V,52.433 V,225 µbar/min,21.786 V,1.80E-007 mbar,10 %,"1,097 µbar",µ-Volume,51.918 V,Pre,52.43355850174267,52.36501364057606,23.981684129887274,52.36890863518763,32.03688513379144,22.49559084369976,-80.30577243938686,-302.10721766421165,-58.64528344066649,34.74346141385763,8.685865353464408,-272.31084107406826,59.51774944908478,15.367416828003401,-3.7322732138959096,0.07727941567411317,,,Natan Pereira BTS coral series 2.xlsx,2026-01-29 21:58:35.952,739645.0,225.0,74.0,67.0,1097.0,52.43297735645611,BTS,,1000,Partially Saturated Collectors,16.0,3.0,0.0,12.0,15.0,20.903714694522208,31.5292626619339,70.50880046512927
34.0,GIRMS\IRMS-operator,2026-01-29 22:30:46.062,2026-01-29 23:53:16.200,Success,False,BTS,868,34.0,2,18.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",67 µbar,72 °C,,9.098 V,9.5204 kV,62 µbar,Carbon Dioxide: 0.0204 kV,281 µbar,8.099 V,10.406 V,103 µbar/min,3.277 V,9.34E-008 mbar,33 %,"1,019 µbar",µ-Volume,,Pre,7.979300771789027,8.668146751017193,8.667804024309735,11.381248762643528,11.567751696145725,8.114879624288792,-1.4822134166058154,-4.284414967573702,-1.489136252395197,0.023172859127854953,0.005793214781963738,-4.21753984879631,0.035212681064788635,0.008803170266197159,-1.4895977747811562,0.02390995056357036,-4.2130815075444845,0.03142855844644377,Natan Pereira BTS coral series 2.xlsx,2026-01-29 22:30:46.062,739645.0,103.0,281.0,62.0,1019.0,7.7826652362012725,BTS,,868,OK,16.0,15.0,15.0,0.0,0.0,7.764068604766479,0.018596631434793842,0.016619644558722
